judul,genres,genre_1,genre_2,genre_3,tanggal_rilis
KKN Desa Penari,Horror Mystery,Horror,Mystery,,30/03/2022
Pengabdi Setan 2: Communion,Drama Horror Mystery,Drama,Horror,Mystery,4/8/2022
Miracle in Cell No 7,Drama Family,Drama,Family,,8/9/2022
Milea : Suara dari Dilan,Drama Romance,Drama,Romance,,13/02/2020
Ngeri-ngeri Sedap,Comedy Drama,Comedy,Drama,,2/6/2022
Ivanna,Horror Thriller,Horror,Thriller,,14/07/2022
Sayap-Sayap Patah,Action Drama,Action,Drama,,18/08/2022
Mencuri Raden Saleh,Action Drama,Action,Drama,,25/08/2022
Nanti Kita Cerita tentang Hari Ini,Drama Family,Drama,Family,,2/1/2020
Kukira Kau Rumah,Drama,Drama,,,3/2/2022
Makmum 2,Horror,Horror,,,30/12/2021
The Doll 3,Horror Thriller,Horror,Thriller,,26/05/2022
Jailangkung: Sandekala,Horror,Horror,,,22/08/2022
Kuntilanak 3,Adenture Fantasy Horror,Adventure,Fantasy,Horror,30/04/2022
Qodrat,Horror,Horror,,,27/10/2022
Akhir Kisah Cinta Si Doel,Drama Romance,Drama,Romance,,23/01/2020
Pamali,Horror,Horror,,,6/10/2022
Sebelum Iblis Menjemput Ayat 2,Fantasy Horror Mystery,Fantasy,Horror,Mystery,27/02/2020
Mangkujiwo,Horror,Horror,,,30/01/2020
Teman Tapi Menikah 2,Biography Comedy Romance,Biography,Comedy,Romance,27/02/2020
Inang,Horror Thriller,Horror,Thriller,,13/10/2022
Mariposa,Comedy Drama Romance,Comedy,Drama,Romance,12/3/2020
Dear Nathan: Thank You Salma,Drama Romance,Drama,Romance,,13/01/2022
Aku Tahu Kapan Kamu Mati,Drama Horror Thriller,Drama,Horror,Thriller,5/3/2020
Nussa,Animation Adventure Comedy,Animation,Adventure,Comdey,14/10/2021
Yowis Ben 3,Comedy Drama,Comedy,Drama,,25/11/2021
Rasuk 2,Horror,Horror,,,2/1/2020
Yowis Ben Finale,Comedy Drama,Comedy,Drama,,16/12/2021
Asih 2,Horror,Horror,,,24/12/2020
Diginitate,Drama,Drama,,,23/01/2020
Tarian Lengger Maut,Thriller,Thriller,,,13/05/2021
Toko Barang Mantan,Comedy Drama Romance,Comedy,Drama,Romance,20/02/2020
Janin,Horror,Horror,,,16/01/2020
Teka-teki Tika,Comedy Mystery Thriller,Comedy,Drama,Mystery,23/12/2021
Titus: Mystery of The Enygma,Animation Adventure Comedy,Animation,Adventure,Comedy,9/1/2020
Backstage,Drama Family Musical,Drama,Family,Musical,30/12/2021
Kuyang The Movie,Horror,Horror,,,20/05/2021
Losmen Bu Broto,Drama,Drama,,,18/11/2021
Yuni,Drama,Drama,,,9/12/2021
Mangga Muda,Comedy Drama,Comedy,Drama,,23/01/2020
"Seperti Dendam, Rindu Harus Dibayar Tuntas",Action Comedy Drama,Action,Comedy,Drama,2/12/2021
Kadet 1947,Drama History War,Drama,History,War,25/11/2021
Paranoia,Thriller,Thriller,,,11/11/2021
Pintu Surga Terakhir,Drama,Drama,,,11/11/2021
Akhirat: A Love Story,Drama Fantasy Romance,Drama,Fantasy,Romance,2/2/2022
